Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	Transliteration WS23
371832	17,766667	54,233333	52353	Sullenschin	1	Wie sind meid oh häbbe dorscht.
548119	14,8560774	45,73778552	44439	Ebental (Polom)	1	Bir sheibm miadä und houbm Durscht
548136	15,02728837	45,72261381	44442	Steinwand (Podstenice)	1	Bir sseibm miüdü und houbm durscht.
548123	14,67181656	45,60384838	44445	Obergras (Trava)	1	Wiar scheibn miada un hubn Durscht.
548125	14,74770542	45,61189263	44447	Göttenitz (Gotenica)	1	Bir sheibn miädó ónd hòbn durscht
548129	15,03087485	45,60255868	44454	Nesseltal (Koprivnik)	1	Bir sheibn miado und duorschtig
548132	14,85834462	45,51864086	44461	Tiefenbach (Briga)	1	Bir sheibm miädä und hebm Durscht
548133	15,0105791	45,52366898	44465	Unterlag (Spodnji Log)	1	Biär sheibn miädä ünd hobn Dürscht
19407	7,7484	46,02414	46145	Zermatt	1	Wiér sie miédi und hei Durscht
546520	11,32397722	45,92359227	46365	Lusern	1	Wiar sein müade on ham durst.
626636	21,1663851	45,72229705	54916	Freidorf bei Temeschwar	1	Mr sein miet un hun Dorst
626634	18,23295015	46,07109001	54919	Fünfkirchen	1	Mi sain mid un ham duest.
540526	21,42616232	45,88641917	54926	Deutschbentscheck	1	Mir sein mid un hawe Torscht
626650	20,7089428	45,93611244	54930	Gottlob	1	Mir sin mid un han Durscht
626677	21,4127841	45,34995319	54932	Klein-Schemlak	1	Mír seḭ mied ŭn hŭn Dorscht
626656	21,4215454	45,26174573	54937	Groß-Scham	1	Mir sin mid un han Dorscht.
540946	19,52662428	45,50310424	54938	Torschau	1	Mer sin mid un han torsd.
540824	19,37412285	45,61386126	54939	Weprowatz	1	Mir sin mid un hen tåṛst
540560	21,10004302	45,83953821	54943	Neubeschenowa	1	Mr sen mid än han Dörscht.
371395	16,31041	52,60188	-55522	NOJEWO	1	Wir sind sehr müde und haben großen durst.
370675	16,36077	54,11004	-55425	WYSZEWO	1	Wie sinn mör unn hewe Dest.
626746	18,58678287	53,05101458	-55418	SCHￃﾖNWALDE (WRZOSY)	1	Wie send med o hebe dest.
527281	19,0366	49,56875	-55416	KAMESZNICA	1	M'r sen mied un hann Durscht.
380348	18,38712	51,17088	-55415	SKOMLIN	1	Wir sind mied u haben durscht.
388417	19,13695	49,64526	-55411	RADZIECHOWY	1	Mir han müd una han dursten.
626621	18,72	49,64	-55408	BISTRITZ	1	Wir sind müde und haben Durst.
545443	18,5370479	49,85420839	-55394	FREISTADT (FRYￅﾠTￃﾁT)	1	Wir sind müde u durstig.
390778	19,49241	50,06365	-55389	KWACZALA	1	Mir sin mied un sin dorschtrich.
387543	19,12851	50,72563	-55383	HUTA STARA A	1	Mier sein mied und hon derscht.
388755	19,08354	50,89934	-55382	CZARNY LAS	1	Mir sind müd und hon torscht.
388496	18,75742	51,00328	-55377	NATOLIN	1	Wir sein mide und hon Durscht.
390678	18,64555	51,02636	-55376	JAWORZNO	1	Mir hamer müet und homer Durscht.
385114	18,51475	51,13966	-55375	OZAROW	1	Wir sind müde und haben durst.
385418	19,2962	51,20322	-55373	LUSZCZANOWICE	1	Wir haben Durst und sind müde.
533735	19,37718	51,35563	-55366	BELCHATￃﾓW	1	Wir sind miede und haben Dorscht.
376904	18,47	51,35	-55365	DOBROSLAW	1	Wir sind mid u uns durstet.
383244	18,90114	51,20321	-55363	SIEMKOWICE	1	Mir sind mud und henn durscht.
363032	19,4341	51,42903	-55362	SUCHCICE	1	Uns schlü fjets u duscht.
379550	18,85025	51,43743	-55361	WIELKA WIES	1	Wir sind müde u sind durstig.
379732	18,57714	51,49261	-55360	OSTROW	1	Wir sind müde und dursten so sehr.
619524	18,39830334	51,46576252	-55359	KIEBITZTAL (KUZNICA)	1	Mir samer müd u haben Durscht.
383768	19,75374	51,66709	-55354	LAZNOWSKA WOLA	1	Wir sind (ver)mied und habn Dorscht.
377153	19,47735	51,66082	-55350	RZGOW	1	Mee sin mid un hun Dorscht.
379517	19,23418	51,65804	-55349	MARKOWKA	1	Mia sind mide und haben Descht.
378258	18,56718	51,62565	-55344	SLOMKOW SUCHY	1	Mie hama maid und hama Duast.
381080	19,67238	51,72908	-55338	JUSTYNOW	1	Mir sin mid un haben Durscht.
377949	19,02415	51,72283	-55331	RZEPISZEW	1	Wie sind mide und haben durscht.
372086	18,13488	51,67727	-55326	JOZEFOW	1	Bie sin mied und hobn Durscht.
626754	19,44499956	51,80918823	-55322	MARIANOW	1	Wir sind müde u. es durstet uns.
384137	18,92107	51,86554	-55308	BALDRZYCHOW	1	Wir sind müd u haben Durst.
153426	18,63	51,86	-55306	RZYMSKO	1	Wir sind miede u haben Durscht.
370854	18,17918	51,87254	-55300	GOLISZEW	1	Mir sind müd un hemmer Durscht.
379051	19,19168	52,07768	-55270	LECZYCA	1	Mehr sinn mid un hunn dorscht.
357781	19,02483	52,06217	-55269	ZIMNE	1	Wi sein meet o habe dost.
159476	18,70666	52,02896	-55266	SARBICE	1	Wi sind med und häbbe Dost.
530520	18,51036	52,01308	-55262	TUREK	1	Wie sind müde u heben durst.
166012	18,23512	52,06197	-55261	GADOWSKIE HOLENDRY	1	Wir sind miede und hobn Durscht.
376296	17,80381	52,06731	-55258	WIERZCHY	1	Wir sin mid un hon durscht.
