Index	Bogennummer	REDE_Namen	Sprache	tu	leg	mach	schmeiß	schütt	stopp	steck	gooi	wirf	krieg	holz	gib	Kohle	Scheid	Holz	Grüß	Feuer	Glut	Brand	Torf	in	op	bei	den	Ofen	Kachel	Herd	Stoof	Küche	Feuer2	Kachelofen	dass	dann	damit	tut	wird	soll	kann	beginnt	geht	die	Milch	Rahm	bald	gleich	geschwind	gauw	schnell	rasch	enta	hortig	vlug	zu	mit	kochen	sieden	wellen	anfangen	anheben	ankommen
ab	10029	Ringhuscheid	1	d uh -	-	-	-	-	-	-	-	-	-	-	-	k uoa - ll e n	-	-	-	-	-	-	-	oa n	-	-	d ä n	- uoa - w ä n -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	-	m ö - l e ch -	-	b ah l - - -	-	-	-	-	-	-	-	-	z u	-	k oa - ch e n -	-	-	a n - f ä ng - t -	-	-
ab	10044	Malberg	1	d uh -	-	-	-	-	-	-	-	-	-	-	-	k oeh - l e n	-	-	-	-	-	-	-	a n	-	-	d e n	- oo - w e n -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l e g -	-	b ah l - - -	-	-	-	-	-	-	-	-	z e	-	k oo - ch e n -	-	-	o - - f ä ng - t -	-	-
ab	1009	Nowy Klukom	1	d u ch	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d a	- o - w a - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m ä - l - k -	-	b a l - - -	-	-	-	-	-	-	-	-	t h o	-	k au - k a - -	-	-	a - - f ä ng - t -	-	-
ab	1018	Lasko K Choszczna	1	d o -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	n a	- o - w a - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b a l - - -	-	-	-	-	-	-	-	-	t o	-	k oa - k e - -	-	-	a n - f ä ng - t -	-	-
ab	10215	Pantenburg	1	d ou -	-	-	-	-	-	-	-	-	-	-	-	k o - ll - n	-	-	-	-	-	-	-	a n	-	-	d e n	- o - ff e n -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d ie	m ö - l i ch -	-	- - - - - -	g e l ei ch	-	-	-	-	-	-	-	s e	-	k oa - ch e n -	-	-	o - - f ä ng - t -	-	-
ab	1023	Golin	1	d o -	-	-	-	-	-	-	-	-	-	-	-	k ah - l e -	-	-	-	-	-	-	-	i	-	-	d e	- a - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d o	m e - l - k -	-	- - - - - -	-	-	-	-	-	-	-	-	t o	-	k a - k e n -	-	-	a n - f ä ng - t -	-	-
ab	10230	Beuren	1	d e -	-	-	-	-	-	-	-	-	-	-	-	k o - ll e n	-	-	-	-	-	-	-	o n	-	-	d e	- o - w e n -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - ch -	-	- - - - - -	g e l ei ch	-	-	-	-	-	-	-	-	-	k oo - ch - t -	-	-	- - - - - - - - -	-	-
ab	10259	Mörsdorf	1	d o -	-	-	-	-	-	-	-	-	-	-	-	k o - ll e -	-	-	-	-	-	-	-	i n	-	-	d e	- o - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l e ch -	-	b a l - - -	-	-	-	-	-	-	-	-	s e	-	k o - ch e - -	-	-	a n - f ä ng - t -	-	-
ab	10275	Badenhard	1	d uh -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e n	-	-	-	-	-	-	-	e n	-	-	d ä	- oe - w e n -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d ie	m ei - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e n -	-	-	a n - f ä ng - t -	-	-
ab	1029	Niekursko	1	d u g	-	-	-	-	-	-	-	-	-	-	-	k aua - l o -	-	-	-	-	-	-	-	i n	-	-	o	- au - w o - -	-	-	-	-	-	-	d e t	-	-	-	-	-	-	-	-	d	m e - l - k -	-	b a l - - -	-	-	-	-	-	-	-	-	t	-	k au - k u n -	-	-	a n - f ä ng - t -	-	-
