Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	Transliteration WS34
94965	6,34277	50,06311	10029	RINGHUSCHEID	1	- D’ - Wort - kum en - - vam Herz! - -
95722	6,58295	50,04663	10044	MALBERG	1	- Dat - Wuhet - kuhm heim - - von Heezen. - -
150069	15,49524	53,11481	1009	NOWY KLUKOM	1	- Dat - Wo|ed - kamm emm - - va Haata - -
531796	15,78185	53,08719	1018	LASKO K CHOSZCZNA	1	- Dat - Wot - kam em - - von Herza! - -
99147	6,84042	50,09033	10215	PANTENBURG	1	- Dat - Wourt - aß him - - vom Härz kun! -
159464	16,08349	53,12516	1023	GOLIN	1	- Dat - Woet - kem em - - von Haate. - -
97954	7,07928	50,09451	10230	BEUREN	1	- Dat - Wort - kom ihm - - vom Herz. - -
98462	7,34404	50,10303	10259	MÖRSDORF	1	- Dat - Worth - kam ihm - - vom Herze - -
94920	7,633	50,12291	10275	BADENHARD	1	- Dat - Wort - kam =em - - vom Herz! - -
531178	16,39581	53,11234	1029	NIEKURSKO	1	- Dat - Woot - kem em - - vom Haato - -
95227	7,88739	50,1322	10300	WELTEROD	1	- Das - Wort - kom’ m - - vom Herzn. - -
96664	8,14118	50,13996	10315	BLEIDENSTADT	1	- Daß - Wort - is’ m - - von Herzn kumme! -
11144	6,05347	50,20267	10335	ESPELER	1	- Dat - Wu[re/or?]t - kum him - - van Herzen - -
376330	16,63215	53,09276	1035	STOBNO	1	- Dat - Wot - köm em - - fom Hato. - -
95212	6,31001	50,22124	10351	BRANDSCHEID	1	- Dat - Woort - koum him - - vom Harzen. - -
97121	6,55753	50,21722	10368	BÜDESHEIM	1	- Dat - Wout - koum’ m - - vaon Hezen. - -
97404	6,7955	50,23069	10381	WALDKÖNIGEN	1	- Dat - Wohrd - kôhm em - - vôm Härz. - -
370259	17,19502	53,11046	1050	KROSTKOWO	1	- Dat - Woet - käm em - - vom Hat - -
95268	7,0778	50,26048	10584	KALENBORN	1	- Dad - Woard - koam em - - vom Härzen. - -
96687	7,34445	50,2728	10601	GAPPENACH	1	- Dad - Wurt - kom em - - vonn Herze. - -
101126	7,61816	50,28044	10621	RHENS	1	- Dat - Word - kom em - - von Herze. - -
96321	7,87712	50,29247	10649	ATTENHAUSEN	1	- Dot - Wort - kom mem - - vom Herze. - -
94966	8,10998	50,31601	10663	HERINGEN	1	- Dos - Wurd - kom em - - vom Herz! - -
11763	6,28038	50,38149	10690	HONSFELD	1	- Dat - Wort - kohm hemm - - von Herzen! - -
135306	6,54324	50,3815	10697	DAHLEM	1	- Dat - Wort - ko[o?]m hem - - vam Herze. - -
95727	6,80584	50,41498	10709	AREMBERG	1	- Datt - Wort - kom ihm - - vom Herzen. - -
96260	7,05945	50,41231	10736	HOHENLEIMBACH	1	- Dat - Wurt - kom ‿em - - vom Herze. - -
100720	8,54797	50,9931	10857	HATZFELD (EDER)	1	- Dos - Wort - kam am - - vom Herze. - -
542256	10,4237421	50,7188194	10974	HAINDORF	1	- Das - Wourt - kom ün - - von Herze. - -
373879	18,9051	53,70548	110	ROZPEDZINY	1	- Dat - Wort - kam em - - von Harte. - -
542173	10,72904373	50,77061604	11132	SCHWARZWALD	1	- Dâs - Wort - koâm ehn - - von Hârzen - -
139789	10,96938	50,75547	11149	WIPFRA	1	- Das - Wort - kumm ähen - - von Härzen. - -
136781	11,22809	50,76235	11180	REMDA	1	- s - Wort - kamb’ n - - von Hârzen! - -
141792	11,50488	50,7536	11197	ZEUTSCH	1	- Das - Wort - kom’ n - - vun Harzen - -
142209	11,73363	50,77235	11212	BREITENHAIN	1	- Das - Wort - kom ehn - - von Hārzen. - -
139629	12,01318	50,78588	11230	BURKERSDORF	1	- Das - Wurt - kom ihn - - vun Haerzen. - -
