Index	Bogennummer	REDE_Namen	Sprache	WS9Transliteration
ab	10029	Ringhuscheid	1	Öch se - bei=i där Frau gewäst oan - han - - hirr et gesoat oahn - si hat - gesoat - - si - - wold - et oah - hirrer Doachter ät - - soan - -
ab	10044	Malberg	1	Eich sei - bei der Frah geweest unn - hann et - ihr - gesat unn - sei - - sot - - sei - - wollt - et och - ihrer Doochte - - - sohn - -
ab	1009	Nowy Klukom	1	Ick be - bi dä Frug weist o - häb 't - ä - sägt - - se - - seihd - - se - - wo - t uck - ähre Dochte - - - säga - -
ab	1018	Lasko K Choszczna	1	Ick bin - bie da Fruga wöïst un - heb t - 'r - secht un - se - - secht - - se - - wullt - es - - ähri Dochtr - ock - säga - -
ab	10215	Pantenburg	1	Ech woar - bei der Frau - un - hun - - er t gesoath un - se hätt - gesoath - - se - - ditt - - - - ihrer Dochter et - - souen - -
ab	1023	Golin	1	Jk bü - bi de Frugge west u - hew - - ähe - seggt u - se - - sähd - - se - - wu - tt ok - ähre Dochte - - - segge - -
ab	10230	Beuren	1	Ech seu - beu der Frau gewäst un - han et - ihr - gesort - - - - - - - - seu - - woll - et och - ihrem Mädchen - - - sorn - -
ab	10259	Mörsdorf	1	Ech wa - bei de Fra gewest un - hon et - e - gesat un - se hot - gesat - - se - - där - et och - ere Dochter - - - sa - -
ab	10275	Badenhard	1	Ich sen - bei der Fra gewest un - hon et - er - gesat un - se - - sat - - se - - wull - et ach - ehrer Tochter - - - san - -
ab	1029	Niekursko	1	Ik bünn - bi duo Fruggo weist ou - heb t - äh - segt ou - se - - seid - - se - - wu - d ok - eiro [D?]ochte - - - seggo - -
ab	10300	Welterod	1	Jch sen - bei d'r Fraa kewescht un - hon s - er - kesoht un - sej - - soht - - sej - - weld - 's ach - ärer Dochder - - - sohn - -
ab	10315	Bleidenstadt	1	Ich bin - bei der Fraa gewese un - hun s - er - gesat un - se - - sat - - se - - wull - s aach - ihrer Dochter - - - soa(n) - -
ab	10335	Espeler	1	Ich sen - bei die Frau gewiëst und - hete - - hier et gesat und - sie - - sat - - sie - - willt - - - - irrem Mädchen et och - sag'n - -
