Index	Bogennummer	REDE_Namen	Sprache	WS10::Transliteration WS10
ab	10029	Ringhuscheid	1	Öch wöllet oh net meh dun!
ab	10044	Malberg	1	Eich well et och net mir erum dohn.
ab	1009	Nowy Klukom	1	Ick wi't uck nik ne meh/e wed de do/a.
ab	1018	Lasko K Choszczna	1	Ick witt ock nimehr weddr doa!
ab	10215	Pantenburg	1	Ech wöllt och nöt me douen!
ab	1023	Golin	1	Ik witt' ok ni mehe wedde dohe!
ab	10230	Beuren	1	Ech well et och net mi dohn!
ab	10259	Mörsdorf	1	Ech well et net wirra dohn.
ab	10275	Badenhard	1	Ich well-et ach net me wiere dhun.
ab	1029	Niekursko	1	Ik wad ok n'ni me'e(r?) wed de dou.
ab	10300	Welterod	1	Ich wells ach nett me werre doun.
ab	10315	Bleidenstadt	1	Ich will's aach nitt mih werre dhu(n).
ab	10335	Espeler	1	Ech will dat o nitt mi hannenahn duhn.
ab	1035	Stobno	1	Ick wi dat ok ni mehe doho.
ab	10351	Brandscheid	1	Ech well et och net mer dun.
ab	10368	Büdesheim	1	Ech wäll et och nätt mēr doun.
ab	10381	Waldkönigen	1	Ech well et och net mieh wehr dōhn.
ab	1050	Krostkowo	1	Ik wi dat ek ni wede deue!
ab	10584	Kalenborn	1	Ech wel äd och kainmol me don.
ab	10601	Gappenach	1	Ech wel et och net mie wied er dohn.
ab	10621	Rhens	1	Ech well et uch net mi widder do??
ab	10649	Attenhausen	1	Äich well's aach nett meh werra dou.
ab	10663	Heringen	1	Ich well's ach net mih wirer doun.
ab	10690	Honsfeld	1	Ich well et och net mie wedder dohn!
ab	10697	Dahlem	1	Ech well et net wie doon.
ab	10709	Aremberg	1	Ech wel et och met mie don.
ab	10736	Hohenleimbach	1	Ech well-et net mie dohn.
ab	10857	Hatzfeld (Eder)	1	Ech well es och net mi werrer duh.
ab	10974	Haindorf	1	Ich wöll's au net meh wi-er do!
ab	110	Rozpedziny	1	Ick well et ock nicht mehe weddn dohne.
ab	11132	Schwarzwald	1	Ech well es a nech miâ wedder thuâ.
ab	11149	Wipfra	1	Ech wäll's o nech wetter thue.
ab	11180	Remda	1	Ech wäll's o nech werdder mache.
ab	11197	Zeutsch	1	Ich wills o nich merre werder thu.
ab	11212	Breitenhain	1	Ech wölls ā nech mehr wieder thue.
ab	11230	Burkersdorf	1	Ich wills a nicht mehr wieder thue!
ab	11252	Seelingstädt	1	Ich will es au nicht wieder thu.
ab	11262	Seebach	1	Ich wills au nih mih wéder thu.
ab	1133	Debenke	1	Iksch we dat ok ne wäddä dauä.
ab	1139	Gliszcz	1	Ÿk wÿ dat ok nÿ meä wäddn daun.
ab	11467	Boilstädt	1	Ech wälls au nech mehr wäder thue.
ab	11485	Ingersleben	1	Ech wälls au nech miê wädder dua.
ab	1150	Czarze	1	Ek well et ok nech mehe wede done.
ab	11515	Gutendorf	1	Ech wälls o nech wetter thue.
ab	11539	Kleinschwabhausen	1	Ech wall's og nech mie wädder du.
ab	11568	Thalbürgel	1	Ich wills och nich mie wetter thu.
ab	1157	Bielczyny	1	I will s a nimme wieder thoa.
ab	11586	Bad Köstritz	1	Ich wills āch nich meh widder thuo,
ab	11607	Lumpzig	1	Ich wills o nich mieh widder thu.
ab	1162	Sierakowo	1	Oeck we dat ock ne möe wedde daune.
ab	11645	Gleismuthhausen	1	Ich wills a net wieder thu!
ab	11673	Mitwitz	1	Ich will's a nimme wide thu.
ab	11763	Aub	1	Ich wills a niedma wieder thua.
ab	1178	Sokoliniec	1	Ick witt ok ne mehe wedde doa.
ab	11805	Seidmannsdorf	1	Ich wills à met mer widder thu.
ab	11825	Wallenfels	1	Ich will's a numme thu!
ab	11844	Neudorf	1	E-ich will's a nimmer tho!
ab	11864	Draisendorf	1	Ich wills a nimmer widder thōn!
ab	11881	Sohl	1	Ich will's a nimm'r wied'r tua!
ab	11896	Sülzdorf	1	Ich wills a net widder thu_!
ab	1192	Debsko	1	Ick witt ok ni mēê wedde doê.
ab	11927	Bachfeld	1	Ich will's ä nimmer widder thu!
ab	1197	Plociczno	1	Ick we dat ok ne wedder daun.
ab	1203	Nakielno	1	Ick wi dat ok ne meh wedda doa.
ab	12037	Hildburghausen	1	Ich wills a nett widd'r thu.
ab	12070	Neuenbau	1	Ich wills a nimmer widder thu!
ab	1208	Wissulke (Wiesiółka)	1	Ick wi'tt ock ni mehe werdde dohö.
ab	12085	Grumbach	1	Ig will's å nett mer widder thu.
ab	12104	Frössen	1	E-ich will's ā nimmer weider tho.
ab	12125	Schwand	1	Ich wills äh nett me wieder tha.
ab	12148	Kottengrün	1	Ich wills aa nimmer wieder tha!
ab	1215	Paruszka	1	Ick wah datt ock ni meä wädde dohä.
ab	12153	Meiningen	1	Ich wills ah nimmer widder thu!
ab	12167	Altendambach	1	Ich wills ach nät wittör thu.
ab	12184	Altenfeld	1	Ich wills a net widder thu!
ab	12341	Rohrbach	1	Yech wiel's a nech mie wedr thu!
ab	12371	St. Jacob bei Leutenberg	1	Īch will's a nich mehr weder thun!
ab	12390	Neundorf (bei Schleiz)	1	Öich will's ä nimm'r wöid'r daun!
ab	12410	Ebersgrün	1	Ich wills aber ēi net wieder thu.
ab	12428	Roitzschau/Rotschau	1	chwills obr aa nimm'r machn.
ab	12496	Horsdorf	1	ī' wills a net méh' wiede thu!
ab	12529	Ködnitz	1	Ich will's a nimer tho.
ab	12556	Kornbach	1	Ich wills a nimmer tho.
ab	12572	Habnith	1	Ich wills a nimmea wieda thau!
ab	12594	Uchenhofen	1	Ich wills ah nicks mer thua.
ab	12616	Reutersbrunn	1	Ich willst a nex mär thu!
ab	12656	Weismain	1	Ich will's ober a nimä tho.
ab	1278	Insko	1	Ik wid't uk nĕ mēĕ wedde dōă.
ab	1287	Konotop	1	Ick witt ock ne mee wedde doa!
ab	12876	Lohma	1	Ich will's o nich widder thu (moche).
ab	12898	Heiersdorf	1	Ich will's ao nich meh wieder thun.
ab	12921	Sachsenburg	1	Ich will's oh ni wied'r mach'n!
ab	12942	Rothenfurth	1	Ich will's o nie meh wieder duhn.
ab	1296	Zabin	1	Ick witt uck ni mehr wedde doha.
ab	12969	Borlas	1	Ich well's och nech wieder thun.
ab	13005	Dohna	1	Ich will's oh ni meh widd'r thun!
ab	13019	Porschdorf	1	Ich wills och nich mehr wieder thun.
ab	13047	Morgenröthe	1	Ich wells ä nimmer thu.
ab	13054	Rittersgrün	1	Ich wills ä nimmer wieder thu.
ab	1315	Kamien	1	Ig wit ug ni mehr wäddä däaun.
bc	13169	Saupersdorf	1	Ich wills anett meh thu.
bc	13187	Kühnheide	1	Ich wölls à net wieder máchng (oder: thu).
bc	13210	Himmelmühle	1	Ich wills a nimmăr wiedăr thuă.
bc	13226	Rübenau	1	Iig wills a nich mee thu!
bc	13269	Thurm	1	Ich will es ä nich mähr widder thun.
bc	13286	Ursprung	1	Ich wills a nich me wieder thu.
bc	133	Sosnowo	1	Ick wü dat uck nich mea werra daua.
bc	13317	Dittmannsdorf	1	Ech wells a nech meh wieder thu.
bc	13340	Grosshartmannsdorf	1	Ich wills o nĭ meh wida duhn.
bc	13355	Reichenau	1	Ich will's oh ni meh wieder thun.
